epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,1078.91,0.88339,0.87766,1.05125,0.93694,0.77953,0.87797,0.66314,0.81295,0.807,0.95712,0.0008318,0.0008318,0.0008318
61,1096.83,0.89661,0.86596,1.01745,0.91655,0.80315,0.87517,0.6625,0.82493,0.80029,0.96025,0.000812,0.000812,0.000812
62,1114.63,0.89166,0.83959,1.01398,0.94389,0.79478,0.88707,0.67031,0.80285,0.78804,0.95387,0.0007922,0.0007922,0.0007922
63,1132.46,0.9446,0.86777,1.03598,0.93175,0.80621,0.88748,0.67054,0.80305,0.80575,0.95022,0.0007724,0.0007724,0.0007724
64,1150.14,0.85293,0.76991,1.01623,0.93545,0.79873,0.88857,0.67376,0.7906,0.8201,0.94831,0.0007526,0.0007526,0.0007526
65,1167.86,0.86635,0.80376,0.97969,0.92306,0.8189,0.89249,0.68111,0.77351,0.80241,0.94515,0.0007328,0.0007328,0.0007328
66,1185.48,0.86943,0.80482,1.02877,0.91758,0.83273,0.8912,0.68803,0.7661,0.76823,0.93853,0.000713,0.000713,0.000713
67,1203.19,0.90248,0.85262,1.02871,0.91339,0.83041,0.88655,0.68531,0.76675,0.7502,0.93586,0.0006932,0.0006932,0.0006932
68,1220.77,0.8497,0.81231,1.00708,0.93,0.78456,0.87174,0.68315,0.74823,0.75857,0.92916,0.0006734,0.0006734,0.0006734
69,1238.47,0.85649,0.79784,0.98904,0.9439,0.77953,0.87122,0.68826,0.73644,0.75455,0.92248,0.0006536,0.0006536,0.0006536
70,1256.21,0.84618,0.76944,0.98084,0.9456,0.79134,0.88507,0.69929,0.73081,0.72917,0.91637,0.0006338,0.0006338,0.0006338
71,1273.93,0.78748,0.77552,1.00326,0.95898,0.81102,0.89728,0.70864,0.70455,0.7055,0.9043,0.000614,0.000614,0.000614
72,1291.71,0.8079,0.75482,0.9818,0.9428,0.82283,0.90682,0.71944,0.68674,0.69332,0.89578,0.0005942,0.0005942,0.0005942
73,1309.4,0.85767,0.80204,1.01484,0.92566,0.83336,0.90892,0.72312,0.68152,0.68147,0.89173,0.0005744,0.0005744,0.0005744
74,1327.11,0.81687,0.74432,0.98561,0.93776,0.82677,0.91477,0.72687,0.67453,0.6668,0.88736,0.0005546,0.0005546,0.0005546
75,1344.78,0.78923,0.74322,0.99709,0.94141,0.83071,0.91154,0.72881,0.67008,0.6587,0.88488,0.0005348,0.0005348,0.0005348
76,1362.69,0.78407,0.70818,0.98843,0.93021,0.8396,0.90716,0.73386,0.6573,0.64234,0.8824,0.000515,0.000515,0.000515
77,1380.55,0.81995,0.75881,1.01469,0.93108,0.85094,0.90699,0.74031,0.65062,0.63482,0.88096,0.0004952,0.0004952,0.0004952
78,1398.24,0.7649,0.68029,0.97221,0.92614,0.85433,0.90646,0.74777,0.63569,0.623,0.87839,0.0004754,0.0004754,0.0004754
79,1415.88,0.81148,0.70206,0.98496,0.97023,0.8189,0.90856,0.75303,0.62905,0.61688,0.87744,0.0004556,0.0004556,0.0004556
80,1433.53,0.78845,0.71676,0.97658,0.97202,0.82053,0.90522,0.74838,0.62775,0.61283,0.87673,0.0004358,0.0004358,0.0004358
81,1451.23,0.82005,0.69632,0.97917,0.94928,0.82677,0.90642,0.74824,0.63074,0.60959,0.87718,0.000416,0.000416,0.000416
82,1468.77,0.74728,0.72029,0.9894,0.9472,0.84749,0.91097,0.74887,0.63043,0.60631,0.87515,0.0003962,0.0003962,0.0003962
83,1486.47,0.83263,0.71631,0.95333,0.96338,0.84252,0.91273,0.75366,0.62105,0.60501,0.87109,0.0003764,0.0003764,0.0003764
84,1504.09,0.78505,0.71775,0.94852,0.95961,0.84185,0.91703,0.75596,0.60857,0.60613,0.86765,0.0003566,0.0003566,0.0003566
85,1521.72,0.77304,0.69233,0.98229,0.952,0.85893,0.92539,0.7599,0.59951,0.60285,0.86426,0.0003368,0.0003368,0.0003368
86,1539.42,0.70114,0.66317,0.93188,0.97945,0.84646,0.92617,0.76321,0.58778,0.59976,0.86096,0.000317,0.000317,0.000317
87,1557.03,0.73205,0.6689,0.94853,0.96852,0.84782,0.92364,0.76652,0.58313,0.59165,0.85941,0.0002972,0.0002972,0.0002972
88,1574.6,0.74476,0.667,0.97601,0.97901,0.84646,0.92868,0.76922,0.58175,0.57978,0.85866,0.0002774,0.0002774,0.0002774
89,1592.31,0.74585,0.65534,0.96221,0.98181,0.85015,0.9282,0.77373,0.57644,0.56963,0.85718,0.0002576,0.0002576,0.0002576
90,1609.95,0.70524,0.68943,0.967,0.9688,0.85585,0.92639,0.77332,0.56633,0.56258,0.8543,0.0002378,0.0002378,0.0002378
91,1627.92,0.69693,0.77435,0.92462,0.98661,0.84252,0.92516,0.77601,0.5589,0.56018,0.85202,0.000218,0.000218,0.000218
92,1645.35,0.70634,0.74447,0.9445,0.97299,0.85109,0.92346,0.77454,0.55607,0.56528,0.85057,0.0001982,0.0001982,0.0001982
93,1662.72,0.62785,0.68295,0.87736,0.96881,0.85433,0.92282,0.77249,0.55676,0.57127,0.85126,0.0001784,0.0001784,0.0001784
94,1680.19,0.63508,0.66188,0.9036,0.97368,0.85039,0.92143,0.77185,0.55469,0.58188,0.84972,0.0001586,0.0001586,0.0001586
95,1697.65,0.6781,0.73128,0.91519,0.97306,0.85317,0.9211,0.77218,0.55279,0.58925,0.84914,0.0001388,0.0001388,0.0001388
96,1715.07,0.65981,0.67337,0.87499,0.96474,0.85039,0.92142,0.77338,0.55244,0.59375,0.84982,0.000119,0.000119,0.000119
97,1732.56,0.66648,0.71275,0.90158,0.96083,0.85039,0.92231,0.77732,0.55224,0.5929,0.85046,9.92e-05,9.92e-05,9.92e-05
98,1750.39,0.66277,0.67879,0.92933,0.96452,0.85618,0.92354,0.77613,0.55156,0.58984,0.85045,7.94e-05,7.94e-05,7.94e-05
99,1767.94,0.65738,0.67017,0.90267,0.96558,0.85433,0.92473,0.77625,0.55253,0.58548,0.85072,5.96e-05,5.96e-05,5.96e-05
100,1785.38,0.65465,0.64585,0.89419,0.96068,0.85433,0.92569,0.77762,0.55245,0.58141,0.85067,3.98e-05,3.98e-05,3.98e-05
